,,"Продажа автомобилей ""MB Motors""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""MB Motors""
				ул. ХаГистадрут 33, Хайфа								Тел. 04-6211151, 052-3257457http://mbmotorscar.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Оборудование для ресторанов ""Хамуди""","Бытовая техника (46) ","
				Оборудование для ресторанов ""Хамуди""
				Ярка				(кольцо ""Амш-Стар"")				Тел. 04-9561296, 050-7292967, 050-3224988				Факс. 04-9561296",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
mailto:elmi4u@gmail.com,elmi4u@gmail.com,"Служба знакомств в Израиле - Elmi","ВИП услуги в Израиле (3) ","
				Служба знакомств в Израиле - Elmi
				 ул. Герцель 16, офис 212 , Хайфа								Тел. 054-7607940elmi4u@gmail.comhttp://elmi4u.com",http://info24.co.il/coupons/vse-goroda/vip-uslugi-v-izraile
,,"Туристическое агентство ""Elite Tour""","ВИП услуги в Израиле (3) ","
				Туристическое агентство ""Elite Tour""
				ул. Иерушалайм 26, Маалот				(ТЦ ""Ракафот"")				Тел. 054-3073366, 050-3033448",http://info24.co.il/coupons/vse-goroda/vip-uslugi-v-izraile
mailto:viptransferisrael@gmail.com,viptransferisrael@gmail.com,"VIP трансфер в Израиле","ВИП услуги в Израиле (3) ","
				VIP трансфер в Израиле
				Весь Израиль								Тел. (+972) 544-718-801, 054-4718801viptransferisrael@gmail.com",http://info24.co.il/coupons/vse-goroda/vip-uslugi-v-izraile
mailto:superelita1@gmail.com,superelita1@gmail.com,"Ресторан ""Элита"" в Хайфе","Все для торжеств (54) ","
				Ресторан ""Элита"" в Хайфе
				ул. Халуцей Таасия 19, Хайфа								Тел. 04-8417210, 052-9513315superelita1@gmail.comhttp://elitaclub.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
mailto:naum521@gmail.com,naum521@gmail.com,"Молдавский ресторан в Хайфе ""Басарабия""","Все для торжеств (54) ","
				Молдавский ресторан в Хайфе ""Басарабия""
				ул. Бар Йегуда 131, Хайфа								Тел. 04-8724430, 052-3210373naum521@gmail.comhttp://2eat.co.il/basarabiya",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Ресторан в Хайфе ""Ацмон-Ташкент""","Все для торжеств (54) ","
				Ресторан в Хайфе ""Ацмон-Ташкент""
				ул. ХаНевеим 32, Хайфа								Тел. 04-8626499, 054-4512201",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Ресторан и зал торжеств ""У Алика""","Все для торжеств (54) ","
				Ресторан и зал торжеств ""У Алика""
				Хайфа, ул. Халуцей А-Таасия 6								Тел. 04-8418982http://www.atalik.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Зал торжеств в Крайот ""Palace"" ","Все для торжеств (54) ","
				Зал торжеств в Крайот ""Palace"" 
				ул. Йосеф Леви 25, Кирьят Бялик				(рядом с АЗС ""ПАЗ"")				Тел. 04-6111162https://facebook.com/palacekrayot",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
mailto:prahim@012.net.il,prahim@012.net.il,"Продажа и доставка цветов ""Прахей ХаКфар""","Все для торжеств (54) ","
				Продажа и доставка цветов ""Прахей ХаКфар""
				ул. ХаХаклайм 5, Кфар Бялик								Тел. 1-800-310707, 04-8703280prahim@012.net.ilhttp://pirhei-hakfar.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Цветочный дизайн ""Цветы Мишель""","Все для торжеств (54) ","
				Цветочный дизайн ""Цветы Мишель""
				ул. Ацмаут 68, Кирьят-Ата								Тел. 04-8444413, 054-3402071https://facebook.com/Michelflowers07",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Сауна-лофт ""Аристократ""","Все для торжеств (54) ","
				Сауна-лофт ""Аристократ""
				ул. Халуцей Таасия 78, Хайфа				(Мифрац Хайфа)				Тел. 054-6220252http://aristocratspa.co.il/events/rus/",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
mailto:info@skidki.co.il,info@skidki.co.il,"Реклама в Израиле ""Info24.co.il""","Все для торжеств (54) ","
				Реклама в Израиле ""Info24.co.il""
				Телефоны для рекламодателей:								Тел. 073-7508999, (+972)-73-750-8999info@skidki.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Русский ресторан ""Мангалия""","Все для торжеств (54) ","
				Русский ресторан ""Мангалия""
				ул. Йосеф Леви 23, Кирьят-Бялик				(промзона Цур Шалом)				Тел. 052-8395946, 04-8759998http://mangaliya.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Русский ресторан в Хайфе ""Бабушка""","Все для торжеств (54) ","
				Русский ресторан в Хайфе ""Бабушка""
				ул. ХаГистадрут 35, Хайфа				(Чекпост)				Тел. 04-8412111https://www.facebook.com/babushkarest.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Лофт-ресторан ""To You"" в Хайфе","Все для торжеств (54) ","
				Лофт-ресторан ""To You"" в Хайфе
				ул. Халуцей ХаТа'асия 80, Мифрац Хайфа				(Кирьят Хаим)				Тел. 04-8400994http://toyou.club",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
mailto:hatoona@mail.ru,hatoona@mail.ru,"Свадебные платья ""Hatoona""","Все для торжеств (54) ","
				Свадебные платья ""Hatoona""
				ул. Дерех Акко 140, Кирьят Бялик				(2-й эт.)				Тел. 054-4678275hatoona@mail.ruhttp://hatoona.net",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Ресторан ""Karin""","Все для торжеств (54) ","
				Ресторан ""Karin""
				ул. Хашмаль 1, Кармиэль				(промзона)				Тел. 04-9081389",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Ресторан ""Касабланка""","Все для торжеств (54) ","
				Ресторан ""Касабланка""
				ул. Дерех Арба 60, Акко								Тел. 04-9816564, 054-7720293",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Ресторан и банкетный зал ""Indiana""","Все для торжеств (54) ","
				Ресторан и банкетный зал ""Indiana""
				Шоссе Акко-Кармиэль				(рядом с АЗС ""Делек"")				Тел. 04-9019191				Факс. 04-9019192http://indiana.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
,,"Зал торжеств ""Marom""","Все для торжеств (54) ","
				Зал торжеств ""Marom""
				ул. Амаль 4, Акко				(промзона)				Тел. 04-9910554, 052-8242696, 054-6891607",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
mailto:energy9681@gmail.com,energy9681@gmail.com,"Сауна-СПА для особых мероприятий ""Party Loft""","Все для торжеств (54) ","
				Сауна-СПА для особых мероприятий ""Party Loft""
				ул. Маклеф 2, Хайфа				(Чекпост)				Тел. 050-9000863energy9681@gmail.comhttp://partyloft.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv
mailto:viptransferisrael@gmail.com,viptransferisrael@gmail.com,"VIP трансфер в Израиле","Все для торжеств (54) ","
				VIP трансфер в Израиле
				Весь Израиль								Тел. (+972) 544-718-801, 054-4718801viptransferisrael@gmail.com",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv/2
,,"Сауна-СПА для особых мероприятий ""Бриза""","Все для торжеств (54) ","
				Сауна-СПА для особых мероприятий ""Бриза""
				ул. Порцей Келе Акко 6, Нагария				(напротив ""Life & Fitness"")				Тел. 04-9823998",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv/2
,,"Сады ""Ганэй Альмана""","Все для торжеств (54) ","
				Сады ""Ганэй Альмана""
				Джулис-Ярка				(просле т.ц. ""Мерказ Амазон"")				Тел. 052-4318414				Факс. 04-9964760",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv/2
,,"Мобильный бар для торжеств ""Gummybar.co.il""","Все для торжеств (54) ","
				Мобильный бар для торжеств ""Gummybar.co.il""
				Кармиэль								Тел. 052-8537878http://gummybar.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv/2
,,"Зал торжеств в Крайот ""ХаПнина""","Все для торжеств (54) ","
				Зал торжеств в Крайот ""ХаПнина""
				ул. ХаХашмонаим 72, Кирьят Моцкин				(рядом с ""Кантри клаб"")				Тел. 052-8418999, 04-8759190				Факс. 04-8777477http://g-gil.com",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv/2
mailto:lilachflowers@gmail.com,lilachflowers@gmail.com,"Цветы в Крайот ""Прахим Лилах""","Все для торжеств (54) ","
				Цветы в Крайот ""Прахим Лилах""
				ул. Двора 14, Кирьят Моцкин								Тел. 04-8732855, 077-3311704, 052-2438604lilachflowers@gmail.comhttp://lilachflowers.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv/2
,,"Доставка цветов и сувениров ""Прахей Лев""","Все для торжеств (54) ","
				Доставка цветов и сувениров ""Прахей Лев""
				ул. Какаль 92/1, Кармиэль								Тел. 04-9989966, 04-9580335, 052-2263323				Факс. 04-9989966http://levflowers.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv/2
,,"Ресторан в Хайфе ""Семь сорок""","Все для торжеств (54) ","
				Ресторан в Хайфе ""Семь сорок""
				ул. ХаГистадрут 33, Хайфа				(Чекпост)				Тел. 054-6410774",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv/2
,,"Свадебные платья и шторы ""VG-Studio""","Все для торжеств (54) ","
				Свадебные платья и шторы ""VG-Studio""
				ул. ХаХагана 4/6, Кармиэль				(""мерказ Рабин"")				Тел. 050-7438100https://facebook.com/vera.godin",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv/2
mailto:buketprahim@gmail.com,buketprahim@gmail.com,"Доставка цветов в Хайфе и окрестностях ""Букет""","Все для торжеств (54) ","
				Доставка цветов в Хайфе и окрестностях ""Букет""
				ул. Трумпельдор 1, Хайфа								Тел. 077-4605061buketprahim@gmail.comhttp://buket.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv/2
mailto:yuri5events@gmail.com,yuri5events@gmail.com,"Зал торжеств в Крайот ""Lavan""","Все для торжеств (54) ","
				Зал торжеств в Крайот ""Lavan""
				ул. ХаТа'асия 26, Кирьят Ата								Тел. 04-8705067, 052-6431112				Факс. 04-8720538yuri5events@gmail.comhttp://lavaneruim.co.il",http://info24.co.il/coupons/vse-goroda/vse-dlya-torzhestv/2
